timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-23,162.8137,168.25,155.5,158.01,158.01,5852486,0.0000,1.0
2020-12-22,170.0,174.97,161.05,163.19,163.19,9886633,0.0000,1.0
2020-12-21,155.31,172.0,145.11,163.02,163.02,17788120,0.0000,1.0
2020-12-18,150.4497,159.0,150.3,157.3,157.3,15954235,0.0000,1.0
2020-12-17,143.0,152.4499,142.67,147.05,147.05,15054725,0.0000,1.0
2020-12-16,125.83,142.0,124.91,137.99,137.99,20409551,0.0000,1.0
2020-12-15,126.69,127.6,121.5,124.8,124.8,10914432,0.0000,1.0
2020-12-14,135.0,135.3,125.1601,130.0,130.0,16966089,0.0000,1.0
2020-12-11,146.55,151.5,135.1,139.25,139.25,26980830,0.0000,1.0
2020-12-10,146.0,165.0,141.25,144.71,144.71,70447537,0.0000,1.0
